"","Név","Link","Gyártási idõszak","Kivitel","Üzemanyag","Hengerelrendezés","Hengerek száma","Hajtás","Hengerûrtartalom","Maximális teljesítmény","Kategória","Ajtók száma","Szállítható személyek száma","Saját tömeg","Össztömeg","Szélesség","Magasság","Hosszúság","Tengelytáv","Üzemanyagtank","Hasznos teher","Sebességváltó","Végsebesség","Gyorsulás 0-ról 100 km/h-ra","Maximális forgatónyomaték","Gumiméret","Újkori ára","Csomagtér térfogata","CO2-kibocsátás","Vegyes fogyasztás","Városi fogyasztás","Országúti fogyasztás","Fordulási kör átmérõje","Környezetvédelmi osztály"
"105","MASERATI Quattroporte V8 Evoluzione (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_evoluzione-15492","1998-2002","Sedan","Benzin","V","8 henger","Hátsó kerék","3 217 cm3","247 kW, 336 LE","Nagykocsi","4 ajtó","5 fõ","1 645 kg","2 045 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm","100 l","400 kg","Manuális (6 fokozatú) sebességváltó","270 km/h","5,8 s","450 Nm","225/45 ZR17 245/40 ZR17 ","25 990 000 Ft","435 l","376 g/km","16,0 l/100km","24,8 l/100km","10,8 l/100km",NA,NA
"106","MASERATI Quattroporte V8 Evoluzione (Automata)  (1998-2002)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_v8_evoluzione_automata-15493","1998-2002","Sedan","Benzin","V","8 henger","Hátsó kerék","3 217 cm3","247 kW, 336 LE","Nagykocsi","4 ajtó","5 fõ","1 645 kg","2 045 kg","1 810 mm","1 380 mm","4 550 mm","2 650 mm","100 l","400 kg","Automata (4 fokozatú) sebességváltó","270 km/h","5,8 s","450 Nm","225/45 ZR17 245/40 ZR17 ","26 990 000 Ft","435 l","376 g/km","16,0 l/100km","24,8 l/100km","10,8 l/100km",NA,NA
"107","MASERATI Quattroporte FC (2004-2009)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_fc-15494","2004-2009","Sedan","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","294 kW, 400 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 930 kg","1 895 mm","1 438 mm","5 052 mm","2 660 mm","88 l",NA,"Manuális (6 fokozatú) sebességváltó","275 km/h","5,2 s","451 Nm","245/45 ZR18 285/40 ZR18 ","36 505 560 Ft","450 l","407 g/km","17,3 l/100km","23,2 l/100km","11,5 l/100km",NA,"EURO 3"
"108","MASERATI Quattroporte Sport GT (2006-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gt-15495","2006-2008","Sedan","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","294 kW, 400 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 930 kg","1 895 mm","1 438 mm","5 052 mm","2 660 mm","88 l",NA,"Manuális (6 fokozatú) sebességváltó","275 km/h","5,2 s","451 Nm","245/45 ZR18 285/40 ZR18 ","34 740 300 Ft","450 l","444 g/km","18,9 l/100km",NA,NA,NA,NA
"109","MASERATI Quattroporte Executive GT (2006-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_executive_gt-15496","2006-2008","Sedan","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","294 kW, 400 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 930 kg","1 895 mm","1 438 mm","5 052 mm","2 660 mm","88 l",NA,"Manuális (6 fokozatú) sebességváltó","275 km/h","5,2 s","451 Nm","245/45 ZR18 285/40 ZR18 ","35 734 800 Ft","450 l","444 g/km","18,9 l/100km",NA,NA,NA,NA
"110","MASERATI Quattroporte Sport GTS (2007-2008)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gts-15497","2007-2008","Sedan","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","294 kW, 400 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 930 kg","1 895 mm","1 438 mm","5 052 mm","2 660 mm","88 l",NA,"Manuális (6 fokozatú) sebességváltó","275 km/h","5,2 s","451 Nm","245/45 ZR18 285/40 ZR18 ","36 040 800 Ft","450 l","444 g/km","18,9 l/100km",NA,NA,NA,NA
"111","MASERATI Quattroporte (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte-15498","2009-2012","Sedan","Benzin","V","8 henger","Hátsó kerék","4 244 cm3","294 kW, 400 LE","Nagykocsi","4 ajtó","4 fõ",NA,"2 065 kg","1 885 mm","1 438 mm","5 097 mm","3 064 mm","90 l",NA,"Manuális (6 fokozatú) sebességváltó","270 km/h","5,6 s","460 Nm",NA,"39 336 930 Ft","450 l","345 g/km","14,7 l/100km","21,9 l/100km","10,5 l/100km","12 m",NA
"112","MASERATI Quattroporte S (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_s-15499","2009-2012","Sedan","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","317 kW, 431 LE","Nagykocsi","4 ajtó","4 fõ",NA,"2 065 kg","1 885 mm","1 438 mm","5 097 mm","3 064 mm",NA,NA,"Manuális (6 fokozatú) sebességváltó","280 km/h","5,4 s","490 Nm",NA,"42 329 050 Ft","450 l","369 g/km","15,7 l/100km","23,9 l/100km","10,9 l/100km","12 m",NA
"113","MASERATI Quattroporte Sport GTS (2009-2012)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_sport_gts-15500","2009-2012","Sedan","Benzin","V","8 henger","Hátsó kerék","4 691 cm3","317 kW, 431 LE","Nagykocsi","4 ajtó","4 fõ",NA,"2 065 kg","1 885 mm","1 438 mm","5 097 mm","3 064 mm",NA,NA,"Manuális (6 fokozatú) sebességváltó","285 km/h","5,1 s","490 Nm",NA,"45 636 130 Ft","450 l","369 g/km","15,7 l/100km","23,9 l/100km","10,9 l/100km","12 m",NA
"114","MASERATI Quattroporte 3.0 V6 S Q4 Aut. (2013–)","https://katalogus.hasznaltauto.hu/maserati/quattroporte_3.0_v6_s_q4_aut.-15501","2013–","Sedan","Benzin","V","6 henger","Összkerék","2 979 cm3","301 kW, 409 LE","Nagykocsi","4 ajtó","4 fõ",NA,"1 920 kg","1 948 mm","1 481 mm","5 262 mm","3 171 mm","80 l",NA,"Automata (8 fokozatú tiptronic) sebességváltó","283 km/h","4,9 s","550 Nm","245/45 R19 ","37 811 342 Ft","530 l","246 g/km","10,6 l/100km","15,4 l/100km","7,8 l/100km","12 m","EURO 5"
