"","ID","Név","Link","Kategória","Kivitel","Üzemanyag","Újkori.ára.(mHUF)","Hengerek.száma","Maximális.teljesítmény.(kW)","Maximális.teljesítmény.(LE)","Végsebesség.(km/h)","Gyorsulás.(s)","CO2.kibocsátás.(g/km)","Vegyes.fogyasztás.(l)","Össztömeg.(kg)","Szélesség.(mm)","Hosszúság.(mm)","Magasság.(mm)","Ajtók.száma","Szállítható.személyek.száma"
"11",11,"MASERATI Biturbo 430 (1992-1994)","https://katalogus.hasznaltauto.hu/maserati/biturbo_430-15466","Nagykocsi","Sedan","Benzin",NA,6,205,279,270,5.3,NA,NA,1910,1730,4400,1370,4,5
"12",12,"MASERATI 4.7 (1971-1980)","https://katalogus.hasznaltauto.hu/maserati/4.7-71883",NA,"Coupe","Benzin",NA,8,228,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"MASERATI 5.0 (1976-1980)","https://katalogus.hasznaltauto.hu/maserati/5.0-71884",NA,"Coupe","Benzin",NA,8,235,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"MASERATI 4.9 (1971-1974)","https://katalogus.hasznaltauto.hu/maserati/4.9-71885",NA,"Lépcsõshátú","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"MASERATI 4.7 16V (1975-1979)","https://katalogus.hasznaltauto.hu/maserati/4.7_16v-71886",NA,"Coupe","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"16",16,"MASERATI 4.9 16V (1975-1983)","https://katalogus.hasznaltauto.hu/maserati/4.9_16v-71887",NA,"Coupe","Benzin",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
"17",17,"MASERATI Coupe (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/coupe-15480","Nagykocsi","Coupe","Benzin",28.3994,8,287,390,285,4.9,437,18.61,1940,1822,4253,1305,2,2
"18",18,"MASERATI Coupe Cambiocorsa (Automata)  (2004-2006)","https://katalogus.hasznaltauto.hu/maserati/coupe_cambiocorsa_automata-15481","Nagykocsi","Coupe","Benzin",30.00068,8,287,390,285,4.9,437,18.61,1940,1822,4253,1305,2,2
"19",19,"MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15467","Nagykocsi","Coupe","Benzin",14.99,6,225,306,265,5.7,249,10.61,1660,1775,4223,1300,2,4
"20",20,"MASERATI Ghibli (1992-1998)","https://katalogus.hasznaltauto.hu/maserati/ghibli-15468","Nagykocsi","Coupe","Benzin",19.75,6,243,330,270,5.6,249,10.61,1660,1775,4223,1300,2,4
